Oil Grade,"Temperature
Deg C","Viscosity
(Ns/m2)","Heat capacity
(kJ/kg*0c)","Conductivity
(W/m2*0c)","Density
(kg/m2)"
ISO VG 15,-10,0.3943,1.772,0.1353,886.5
ISO VG 15,-9,0.3603,1.775,0.1352,885.9
ISO VG 15,-8,0.3298,1.779,0.1351,885.3
ISO VG 15,-7,0.3024,1.783,0.1351,884.6
ISO VG 15,-6,0.2777,1.786,0.135,884
ISO VG 15,-5,0.2554,1.79,0.1349,883.4
ISO VG 15,-4,0.2352,1.793,0.1348,882.8
ISO VG 15,-3,0.217,1.797,0.1348,882.1
ISO VG 15,-2,0.2005,1.801,0.1347,881.5
ISO VG 15,-1,0.1855,1.804,0.1346,880.9
ISO VG 15,0,0.1718,1.808,0.1346,880.3
ISO VG 15,1,0.1594,1.812,0.1345,879.7
ISO VG 15,2,0.1481,1.815,0.1344,879
ISO VG 15,3,0.1377,1.819,0.1343,878.4
ISO VG 15,4,0.1283,1.822,0.1343,877.8
ISO VG 15,5,0.1196,1.826,0.1342,877.2
ISO VG 15,6,0.1116,1.83,0.1341,876.6
ISO VG 15,7,0.1043,1.833,0.134,876
ISO VG 15,8,0.09764,1.837,0.134,875.3
ISO VG 15,9,0.09147,1.841,0.1339,874.7
ISO VG 15,10,0.08579,1.844,0.1338,874.1
ISO VG 15,11,0.08054,1.848,0.1338,873.5
ISO VG 15,12,0.07569,1.852,0.1337,872.9
ISO VG 15,13,0.07121,1.855,0.1336,872.3
ISO VG 15,14,0.06706,1.859,0.1335,871.7
ISO VG 15,15,0.06322,1.862,0.1335,871.1
ISO VG 15,16,0.05965,1.866,0.1334,870.4
ISO VG 15,17,0.05634,1.87,0.1333,869.8
ISO VG 15,18,0.05326,1.873,0.1333,869.2
ISO VG 15,19,0.0504,1.877,0.1332,868.6
ISO VG 15,20,0.04773,1.881,0.1331,868
ISO VG 15,21,0.04524,1.884,0.133,867.4
ISO VG 15,22,0.04292,1.888,0.133,866.8
ISO VG 15,23,0.04075,1.892,0.1329,866.2
ISO VG 15,24,0.03872,1.895,0.1328,865.6
ISO VG 15,25,0.03682,1.899,0.1327,865
ISO VG 15,26,0.03504,1.902,0.1327,864.4
ISO VG 15,27,0.03337,1.906,0.1326,863.8
ISO VG 15,28,0.03181,1.91,0.1325,863.2
ISO VG 15,29,0.03034,1.913,0.1325,862.6
ISO VG 15,30,0.02896,1.917,0.1324,862
ISO VG 15,31,0.02766,1.921,0.1323,861.4
ISO VG 15,32,0.02644,1.924,0.1322,860.8
ISO VG 15,33,0.02528,1.928,0.1322,860.2
ISO VG 15,34,0.0242,1.931,0.1321,859.6
ISO VG 15,35,0.02317,1.935,0.132,859
ISO VG 15,36,0.02221,1.939,0.1319,858.4
ISO VG 15,37,0.02129,1.942,0.1319,857.8
ISO VG 15,38,0.02043,1.946,0.1318,857.3
ISO VG 15,39,0.01961,1.95,0.1317,856.7
ISO VG 15,40,0.01884,1.953,0.1317,856.1
ISO VG 15,41,0.0181,1.957,0.1316,855.5
ISO VG 15,42,0.01741,1.961,0.1315,854.9
ISO VG 15,43,0.01675,1.964,0.1314,854.3
ISO VG 15,44,0.01612,1.968,0.1314,853.7
ISO VG 15,45,0.01553,1.971,0.1313,853.1
ISO VG 15,46,0.01496,1.975,0.1312,852.5
ISO VG 15,47,0.01443,1.979,0.1311,852
ISO VG 15,48,0.01391,1.982,0.1311,851.4
ISO VG 15,49,0.01343,1.986,0.131,850.8
ISO VG 15,50,0.01296,1.99,0.1309,850.2
ISO VG 15,51,0.01252,1.993,0.1309,849.6
ISO VG 15,52,0.0121,1.997,0.1308,849
ISO VG 15,53,0.0117,2.001,0.1307,848.5
ISO VG 15,54,0.01131,2.004,0.1306,847.9
ISO VG 15,55,0.01095,2.008,0.1306,847.3
ISO VG 15,56,0.0106,2.011,0.1305,846.7
ISO VG 15,57,0.01026,2.015,0.1304,846.2
ISO VG 15,58,0.009941,2.019,0.1303,845.6
ISO VG 15,59,0.009634,2.022,0.1303,845
ISO VG 15,60,0.00934,2.026,0.1302,844.4
ISO VG 15,61,0.009058,2.03,0.1301,843.9
ISO VG 15,62,0.008789,2.033,0.1301,843.3
ISO VG 15,63,0.00853,2.037,0.13,842.7
ISO VG 15,64,0.008282,2.041,0.1299,842.1
ISO VG 15,65,0.008044,2.044,0.1298,841.6
ISO VG 15,66,0.007815,2.048,0.1298,841
ISO VG 15,67,0.007595,2.051,0.1297,840.4
ISO VG 15,68,0.007384,2.055,0.1296,839.9
ISO VG 15,69,0.007182,2.059,0.1295,839.3
ISO VG 15,70,0.006986,2.062,0.1295,838.7
ISO VG 15,71,0.006799,2.066,0.1294,838.2
ISO VG 15,72,0.006618,2.07,0.1293,837.6
ISO VG 15,73,0.006444,2.073,0.1293,837
ISO VG 15,74,0.006277,2.077,0.1292,836.5
ISO VG 15,75,0.006115,2.08,0.1291,835.9
ISO VG 15,76,0.00596,2.084,0.129,835.3
ISO VG 15,77,0.00581,2.088,0.129,834.8
ISO VG 15,78,0.005665,2.091,0.1289,834.2
ISO VG 15,79,0.005525,2.095,0.1288,833.6
ISO VG 15,80,0.00539,2.099,0.1287,833.1
ISO VG 15,81,0.00526,2.102,0.1287,832.5
ISO VG 15,82,0.005135,2.106,0.1286,832
ISO VG 15,83,0.005013,2.11,0.1285,831.4
ISO VG 15,84,0.004896,2.113,0.1285,830.9
ISO VG 15,85,0.004782,2.117,0.1284,830.3
ISO VG 15,86,0.004672,2.12,0.1283,829.7
ISO VG 15,87,0.004566,2.124,0.1282,829.2
